condition,area,convex_area,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,mean_intensity_w2,max_intensity_w2,min_intensity_w2,mean_intensity_w3,max_intensity_w3,min_intensity_w3,mean_intensity_w4,max_intensity_w4,min_intensity_w4,mean_intensity_w5,max_intensity_w5,min_intensity_w5,1,2,3,4,5,6,7,8,9,10
(+)-Ephedrine (hydrochloride) 0.01,1598.983448275862,1829.5406896551724,0.8676191140851083,43.17260601504929,0.5513423433527069,72.11202444516226,29.780004646416813,-0.01497562109876085,185.9298309594508,0.8889315345948848,0.08385566458274338,0.29626910074374574,0.039879648411088486,0.13200425452481393,0.40984043272481374,0.031131845841784942,0.051571598363877126,0.1864881676808657,0.020016227180527334,0.0950100022788332,0.24723461798512533,0.03226774847870173,0.10482758620689656,0.08689655172413793,0.0703448275862069,0.10620689655172413,0.1103448275862069,0.12551724137931033,0.1310344827586207,0.06758620689655172,0.10896551724137932,0.08827586206896551
(+)-Ephedrine (hydrochloride) 0.03,1479.3718791064389,1691.6688567674114,0.869785274104178,41.08509011591823,0.5529814563915225,69.16203167108448,28.064911827541057,-0.12092886769555627,177.07814017630287,0.8877466857380445,0.09088345942343731,0.3288887171162816,0.038871711628146545,0.1457148660335807,0.4435765633454444,0.031985777228105215,0.05600967010290742,0.2076589111334416,0.0196220143773672,0.10314574826476677,0.26628790806730096,0.03239674319136311,0.09986859395532194,0.09198423127463863,0.08278580814717477,0.1314060446780552,0.11826544021024968,0.11957950065703023,0.10643889618922471,0.05387647831800263,0.09067017082785808,0.10512483574244415
(+)-Ephedrine (hydrochloride) 0.1,1601.3777777777777,1789.6237037037038,0.8464148575465796,43.10509864117594,0.5729654717593053,67.85352977504716,30.899648147425836,0.03220391274976506,178.80978702309918,0.9039730527484087,0.08417132033180398,0.32044444444444464,0.039230210602759504,0.13086286351001936,0.42014233841684845,0.031824255628176985,0.05091995179020397,0.19911401597676096,0.01943645606390697,0.09270945472023678,0.2401713870733478,0.03241103848946964,0.1451851851851852,0.1037037037037037,0.07555555555555556,0.13333333333333333,0.10222222222222223,0.09925925925925926,0.1037037037037037,0.06962962962962962,0.1037037037037037,0.0637037037037037
(+)-Ephedrine (hydrochloride) 0.3,1456.4157894736843,1635.9407894736842,0.8483942060165376,41.04786246677672,0.5623748369438558,66.21019051277098,28.91860716323562,-0.16320654201291304,172.61067772740014,0.8989058795671888,0.09428773953955566,0.35084494324045434,0.040286377708978235,0.1354270262353058,0.4153392672858611,0.03371646026831777,0.057451534765719764,0.22005546955624378,0.020103199174406547,0.09904217069589397,0.25795020639834915,0.03415763673890597,0.14078947368421052,0.10526315789473684,0.08552631578947369,0.1355263157894737,0.1,0.11578947368421053,0.09342105263157895,0.056578947368421055,0.08157894736842106,0.08552631578947369
(+)-Ephedrine (hydrochloride) 1.0,1359.9928486293206,1564.3492252681765,0.8715093762769113,39.303944760335675,0.5442890661474082,67.10311723201737,26.62407403317299,-0.03133157687491008,171.60925436860262,0.8832508974332057,0.0810062366778806,0.2760172006824188,0.03758559442847456,0.13201802800077703,0.39929537965364964,0.031502255252518103,0.0508653870729013,0.17637126364252495,0.019361284442263187,0.09404898362111543,0.24943560260814693,0.031165720161723753,0.10488676996424315,0.07389749702026222,0.08700834326579261,0.12395709177592372,0.12395709177592372,0.133492252681764,0.11799761620977355,0.06197854588796186,0.08462455303933254,0.08820023837902265
(+)-Ephedrine (hydrochloride) 3.0,1481.6666666666667,1660.2466666666667,0.8561885296793675,41.16874606255579,0.5572329963677626,66.15798653006802,28.962782054732074,-0.15998064819440821,172.8539956147644,0.9007100694941109,0.09656527364086467,0.3731228758169932,0.03929281045751628,0.14597482906099285,0.44023137254901973,0.03738431372548992,0.0592295882699694,0.2370588235294116,0.01961307189542484,0.10375977664039245,0.2688888888888888,0.03534379084967304,0.11733333333333333,0.088,0.08266666666666667,0.12266666666666666,0.112,0.104,0.10666666666666667,0.06933333333333333,0.10266666666666667,0.09466666666666666
(+)-cloprostenol 0.01,1578.1884669479607,1780.1729957805908,0.8499984716834849,42.609118186924476,0.5689308633226334,68.65862950108445,30.11432373620374,-0.08919282203298468,178.95684151765843,0.8976995959242096,0.09452661070090149,0.3688563470395188,0.041148892749786205,0.1188278967703545,0.37725379884724725,0.030754805438349797,0.05177866342553064,0.2086208322991641,0.01890047158103743,0.09047841547480164,0.24304624803507927,0.03200821819585773,0.11673699015471167,0.0970464135021097,0.07454289732770746,0.15611814345991562,0.09563994374120956,0.09985935302390998,0.10126582278481013,0.06188466947960619,0.10548523206751055,0.09142053445850915
(+)-cloprostenol 0.03,1687.7459807073956,1883.6077170418007,0.8406293483960678,43.97097900063178,0.5787334071338093,69.37625984216338,31.587643311401656,0.005739123612968767,182.42090717256275,0.9040443990258035,0.09548953666247195,0.3811440010087637,0.039846163545804086,0.11925167617979768,0.37892156862745113,0.02981369396633229,0.054478026939615634,0.2222463905176221,0.018408360128617282,0.09122836984108725,0.25090946346384185,0.03071527646428338,0.1382636655948553,0.10128617363344052,0.0819935691318328,0.15434083601286175,0.0932475884244373,0.0932475884244373,0.09485530546623794,0.0707395498392283,0.10610932475884244,0.06591639871382636
(+)-cloprostenol 0.1,1626.0043103448277,1825.5014367816093,0.8520331076909144,43.246274208615674,0.5722030757173482,68.70148205131306,30.6893146723171,-0.16032614323928873,180.09295271659883,0.9018268463973657,0.09292392737040257,0.3573599842235745,0.039860829389226804,0.12102549803007612,0.37719883930583764,0.030117478025693076,0.05158478036094742,0.20318768311922478,0.01845278341221538,0.09278196460992474,0.24327670723461808,0.031245774171737548,0.11494252873563218,0.11781609195402298,0.09195402298850575,0.14511494252873564,0.09770114942528736,0.09626436781609195,0.09051724137931035,0.08333333333333333,0.09626436781609195,0.06609195402298851
(+)-cloprostenol 0.3,1611.6671469740634,1810.3760806916428,0.8456324476279853,42.93713566182546,0.5611489475589744,68.62295290324816,30.5080314426174,0.0012266162103740192,179.4280546761737,0.9012973399822147,0.10245017000175533,0.3995437079731025,0.04079646267728981,0.12225252936441676,0.39079787534610405,0.028826919816918033,0.05646211657316774,0.23008984573656582,0.018678307057693327,0.09502785107312492,0.26807509747414837,0.0299881335819629,0.13544668587896252,0.10518731988472622,0.08501440922190202,0.12968299711815562,0.11095100864553314,0.08501440922190202,0.0994236311239193,0.06628242074927954,0.09510086455331412,0.08789625360230548
