condition,area,convex_area,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,mean_intensity_w2,max_intensity_w2,min_intensity_w2,mean_intensity_w3,max_intensity_w3,min_intensity_w3,mean_intensity_w4,max_intensity_w4,min_intensity_w4,mean_intensity_w5,max_intensity_w5,min_intensity_w5,1,2,3,4,5,6,7,8,9,10
(R)-Citalopram oxalate 1.0,1417.8264669163545,1573.578027465668,0.8360532282812021,40.83553623358045,0.5771627410498378,63.064818632500504,29.61934312916271,-0.04595062819768676,167.04652381599493,0.9095549645179386,0.10091325445374691,0.37818535653962015,0.04271498861716973,0.08285947035636036,0.26640229125358017,0.02532985728623538,0.05802948060919898,0.22085995446867865,0.019546645124966323,0.07929504357356083,0.2004712246946217,0.031264840517979925,0.10237203495630462,0.13857677902621723,0.1822721598002497,0.12109862671660425,0.07615480649188515,0.06117353308364544,0.10486891385767791,0.05867665418227216,0.07990012484394507,0.0749063670411985
(R)-Citalopram oxalate 3.0,1454.2044506258692,1617.4534075104311,0.8388973664984386,41.09445818575364,0.5900610095674467,63.4708505188547,29.81848587467238,0.0038305102708371197,167.56583247553374,0.911154283725777,0.0947005237340306,0.35725681093021355,0.04054514712700095,0.08403650662423248,0.275277482342033,0.024164825874717123,0.05455457472538648,0.2088371649076877,0.0186492677738689,0.07816654267941123,0.19481442090048823,0.029994000381793784,0.07510431154381085,0.15299026425591097,0.1627260083449235,0.11404728789986092,0.06258692628650904,0.06815020862308763,0.10292072322670376,0.07927677329624479,0.09735744089012517,0.08484005563282336
1-Dexoymannojirimycin HCl 0.01,1458.8385093167701,1616.904347826087,0.837136207291725,41.387729475642075,0.572958043662926,63.573410787388816,30.19472973597281,-0.04226413446485874,168.87201978457784,0.9117202175919256,0.09818896497071541,0.34336378029472653,0.04541225185726474,0.09349857347279832,0.3139848983071491,0.028527584947022247,0.055298496721269436,0.19890147363293137,0.020775788576300067,0.08395514628961889,0.20939227865059049,0.03448422847399816,0.09813664596273292,0.14161490683229813,0.14658385093167703,0.11677018633540373,0.07080745341614907,0.0546583850931677,0.1093167701863354,0.08074534161490683,0.07950310559006211,0.10186335403726708
1-Dexoymannojirimycin HCl 0.03,1418.852644836272,1572.8337531486145,0.8389955551334974,40.77366780603428,0.579996937243682,62.686023245155,29.72227736127973,0.06238610590545042,166.04158642115183,0.9094288931903446,0.10811813833898007,0.37011656047809555,0.05018768212574726,0.10175886228656339,0.33210969526349565,0.029795772213167288,0.06170330697144195,0.2191374030720602,0.022666320936434996,0.09129781410750729,0.2235997925618613,0.03598928236281907,0.08942065491183879,0.11838790931989925,0.18639798488664988,0.12594458438287154,0.05793450881612091,0.055415617128463476,0.12468513853904283,0.07808564231738035,0.08060453400503778,0.08312342569269521
1-Dexoymannojirimycin HCl 0.1,1379.4596273291925,1533.935403726708,0.839308394039325,40.08279450713676,0.5643115499350961,62.336768826347225,28.982209630728207,0.033249135648339166,164.9023601024567,0.9073006203546509,0.1040032228448038,0.3570295944464745,0.046775057849226885,0.10070231157211042,0.3294616977225674,0.030963341858482506,0.05931823496594644,0.21007429058580002,0.021226403604920195,0.09143667601746847,0.23442820606503434,0.03679332602606254,0.10434782608695652,0.12795031055900621,0.1701863354037267,0.13540372670807455,0.06459627329192547,0.05962732919254658,0.11428571428571428,0.06459627329192547,0.06583850931677018,0.09316770186335403
1-Dexoymannojirimycin HCl 0.3,1336.742206235012,1483.5359712230215,0.8439585764224111,39.68184500634761,0.5672719654433015,62.08104508297514,28.457942430638198,0.00487017795071707,163.41086596892836,0.9080887643001561,0.1059033094436774,0.3700474914186304,0.04834602905910592,0.09845122549069753,0.33163939436685974,0.029047350355010042,0.05940744037482769,0.21140381812197287,0.021666196454601,0.08930799977505793,0.22139817557718555,0.03561386185169502,0.09592326139088729,0.12829736211031176,0.18705035971223022,0.13309352517985612,0.0683453237410072,0.0539568345323741,0.1223021582733813,0.09712230215827339,0.0671462829736211,0.046762589928057555
1-Dexoymannojirimycin HCl 1.0,1470.497375328084,1619.8346456692914,0.8313240599739385,41.309287389423616,0.5956171459438512,62.920026809820115,30.180679160934897,0.045899106088846814,166.74706376276555,0.9153432382136738,0.10116122518127274,0.3606067623899954,0.04632545931758538,0.09344079419795823,0.2986953836652777,0.027382790386495725,0.057222670057745735,0.21043693067778277,0.021019247594050706,0.0850294038704115,0.2076064021409089,0.033283155781997815,0.09055118110236221,0.13385826771653545,0.14698162729658792,0.13648293963254593,0.08136482939632546,0.06430446194225722,0.08398950131233596,0.08923884514435695,0.09580052493438321,0.07742782152230972
1-Dexoymannojirimycin HCl 3.0,1381.0842767295599,1521.685534591195,0.8351954451668895,39.92530569181472,0.591536718230402,60.61190903684049,29.249607404965502,-0.03977320894162334,161.1285147482249,0.9132114902284729,0.10237524153097786,0.35798495498828453,0.044625724503637956,0.09636441898806868,0.3252682204957443,0.02780984091749896,0.059184474604707986,0.21251325687507705,0.02042298680478477,0.08893661514195848,0.22586755456899768,0.034057220372425576,0.09182389937106918,0.13836477987421383,0.1471698113207547,0.13962264150943396,0.06037735849056604,0.0729559748427673,0.10440251572327044,0.0729559748427673,0.0729559748427673,0.09937106918238994
1-Octanol 0.01,1387.936090225564,1530.703007518797,0.8390986172090633,40.41472098290676,0.578700120986987,62.653807274769704,29.171227629010865,-0.051251905974142226,165.0797280798399,0.9136953082499448,0.08907697202504748,0.32993267482431593,0.03553123003587395,0.09072539252564524,0.2983819843726964,0.027412894982554357,0.052711560787355456,0.1989299228463315,0.016913607548282448,0.08114670060792262,0.20480859010270758,0.03145609120841316,0.08020050125313283,0.13909774436090225,0.15162907268170425,0.14285714285714285,0.06766917293233082,0.05889724310776942,0.10651629072681704,0.07769423558897243,0.09022556390977443,0.08521303258145363
1-Octanol 0.03,1465.1503184713376,1619.0445859872611,0.8375240559802266,41.379118069494474,0.5763706340556218,63.949179094488436,29.980125665051162,-0.0186058867727306,168.86505196429871,0.9116787388325621,0.0849157782917472,0.3298488822280503,0.03571250156113394,0.08681980864621901,0.2943099787685773,0.025256650430872905,0.050304172682671094,0.2012701386287001,0.017111277632071892,0.07757054489452782,0.2070288497564629,0.02994130136130879,0.10063694267515924,0.11337579617834395,0.16050955414012738,0.12738853503184713,0.05859872611464968,0.06751592356687898,0.12993630573248408,0.05859872611464968,0.07643312101910828,0.1070063694267516
1-Octanol 0.1,1381.8371810449576,1538.6354799513974,0.8436288545385021,40.02000884554911,0.5729270004183223,62.973605170375485,28.632416383955572,0.06910649302068919,165.32983566508796,0.9085680290535397,0.08539137924682787,0.3108831868105681,0.03512972625259085,0.08736873973017578,0.2787279918042545,0.02595835418006807,0.04967870548520015,0.18275677221070702,0.016839396755056767,0.07780911908992086,0.19102518285564526,0.030572034403068618,0.10085054678007291,0.1336573511543135,0.17618469015795868,0.1421628189550425,0.05103280680437424,0.05589307411907655,0.10328068043742406,0.08626974483596597,0.08140947752126367,0.0692588092345079
1-Octanol 0.3,1371.697585768742,1523.6302414231259,0.844926911686697,40.0622666494588,0.584043974701909,62.60612033059841,28.75369180459062,-0.025725217569880977,164.443457394528,0.9098224502765516,0.08201250844068032,0.2903929043027629,0.03426015895557703,0.08805011930586877,0.28964297281809787,0.02478137379475289,0.04717125298793281,0.16949946433465368,0.016008919450880718,0.07676300228611618,0.18615491940105133,0.029389341505344113,0.09021601016518424,0.13468869123252858,0.193138500635324,0.11689961880559085,0.053367217280813214,0.062261753494282084,0.10673443456162643,0.06353240152477764,0.08894536213468869,0.09021601016518424
1-Octanol 1.0,1412.6907477820025,1575.0304182509506,0.8501278517240832,40.75235598075845,0.5715265784107203,64.62572362316453,28.967394603532743,0.08576499757092773,169.03225363410232,0.9076933707114163,0.08322332717527398,0.3045018514376604,0.03412236884614421,0.09042059300888951,0.30633092273664925,0.025471557444270387,0.04921391956204761,0.1824473769228861,0.0160702303735182,0.08003880654535611,0.1972464524466313,0.03036482019930905,0.09252217997465145,0.13688212927756654,0.19771863117870722,0.15462610899873258,0.058301647655259824,0.05576679340937896,0.09885931558935361,0.06590621039290241,0.06717363751584284,0.07224334600760456
1-Octanol 3.0,1376.812879708384,1530.0279465370595,0.8413803114061958,40.318681542791076,0.5712458785903772,62.86365193589831,29.052721701870485,-0.08748348981805865,165.54303027219984,0.9083835180190744,0.0848385922035156,0.3191873347151737,0.03521549567579154,0.08897146297536751,0.28558120696638334,0.02644557215352739,0.049216400992810085,0.18627570104591076,0.016602339599266137,0.07771431302063996,0.18652824434755702,0.030785266719081383,0.0959902794653706,0.13973268529769137,0.17496962332928312,0.14823815309842042,0.06439854191980558,0.04981773997569866,0.09720534629404617,0.07047387606318348,0.07290400972053462,0.08626974483596597
1-deoxygalactonojirimycin 0.003,1296.1309941520467,1442.6187134502925,0.8362574164987364,38.882686351967024,0.5804827380195473,60.31949767700655,28.16607752844212,0.08609998876020364,159.4006553310699,0.908549553601079,0.13908234572419587,0.4585620915032687,0.06277147116156416,0.10330375721079738,0.32529411764705884,0.03249627336314636,0.07279133365398091,0.24867675725260932,0.02528838435959174,0.10030168320442018,0.24513473225547566,0.039464510950578964,0.09590643274853801,0.16140350877192983,0.14736842105263157,0.12046783625730995,0.05263157894736842,0.07485380116959064,0.13450292397660818,0.06432748538011696,0.08304093567251462,0.06549707602339182
1-deoxygalactonojirimycin 0.01,1463.1258106355383,1619.9494163424124,0.8333480452114362,41.533182582670996,0.5817058651692706,63.27806904319671,30.474601654454055,0.023348502862759617,168.53744339922108,0.9105028202854503,0.13102673826441683,0.4484677398845397,0.06134253960987787,0.09719472858778937,0.30735739172452464,0.0304188601510642,0.0670978205842285,0.239784084840162,0.02414485898120593,0.09247760325899043,0.22599120063070588,0.03706289260191741,0.10116731517509728,0.13878080415045396,0.14785992217898833,0.10765239948119326,0.06614785992217899,0.06614785992217899,0.11413748378728923,0.07911802853437094,0.08171206225680934,0.09727626459143969
1-deoxygalactonojirimycin 0.03,1345.409893992933,1488.9905771495878,0.8282108212868498,39.7886555487614,0.578278131379382,60.52966396830959,29.254041360393753,0.027534386148139484,161.52166124140723,0.9107750149172561,0.13530734509182665,0.4405136377283538,0.06267812189657988,0.10013874810846939,0.3131423358507119,0.03164853691771178,0.06900000328980528,0.23579297443358982,0.024844684634749033,0.09624562032804998,0.22829395598050756,0.03963832882976511,0.10482921083627797,0.1354534746760895,0.15312131919905772,0.11425206124852769,0.06831566548881036,0.07538280329799764,0.10247349823321555,0.08833922261484099,0.06831566548881036,0.0895170789163722
1-deoxygalactonojirimycin 0.1,1330.8969555035128,1475.9590163934427,0.8373591733683652,39.26841877433428,0.5801684999376319,60.39206117522378,28.52617469616977,0.00816552800888713,160.0102222352449,0.9098306598251282,0.13612756145966595,0.42235271157643406,0.06379781420765059,0.10094837001220042,0.3124029939844785,0.033351701336272126,0.0703875462660043,0.22690797630527668,0.025648620103779135,0.09796970056021286,0.23010286081645723,0.04078041052486557,0.11592505854800937,0.12177985948477751,0.16627634660421545,0.1405152224824356,0.05737704918032787,0.05503512880562061,0.11124121779859485,0.06323185011709602,0.07845433255269321,0.09016393442622951
1-deoxygalactonojirimycin 0.3,1350.9232585596221,1503.3081463990554,0.8409023348859144,39.87882315000403,0.5706566965448608,62.533744367836675,28.619341083105677,-0.004850387427890636,164.74989831977723,0.9079111583771251,0.13570347294981708,0.43895409403430774,0.06082482579808812,0.10126645500769896,0.3186772229552986,0.03141421857999402,0.0709180379316836,0.24552167974627864,0.024280621339444856,0.0980912727394465,0.24172164733662102,0.038232979142069926,0.09563164108618655,0.12514757969303425,0.18417945690672963,0.12632821723730814,0.0743801652892562,0.06139315230224321,0.10861865407319952,0.0755608028335301,0.06493506493506493,0.08382526564344746
1-deoxygalactonojirimycin 1.0,1311.2026537997588,1451.9613992762365,0.8224097719243835,39.102111389369696,0.5830915566562542,59.165469363925006,28.84302572368664,-0.12448732494522122,158.04773605362698,0.9113468290572695,0.13452313718270212,0.44566924477873215,0.05989734856548183,0.10116039420299086,0.31863454670167235,0.03218973958702907,0.07093971941371666,0.2431833770902816,0.024317036826793374,0.09900321232577709,0.23963551645024714,0.03923342557770987,0.0856453558504222,0.14354644149577805,0.16767189384800965,0.1097708082026538,0.061519903498190594,0.06513872135102533,0.1158021712907117,0.07720144752714113,0.07720144752714113,0.09650180940892641
1-deoxygalactonojirimycin 10.0,1371.6921212121213,1522.5769696969696,0.8366608767328874,40.09452084135137,0.5837943236804483,61.54661970541167,29.205613980464985,0.01521156165389427,163.29171239478848,0.9093231879315445,0.13113175700015153,0.4286773618538331,0.06078787878787896,0.09881104110839625,0.3190314913844328,0.03318003565062388,0.06756800616391277,0.23087700534759345,0.02423648247177652,0.09474336331105249,0.23258229352346957,0.03960190136660733,0.10303030303030303,0.14303030303030304,0.14909090909090908,0.13333333333333333,0.0496969696969697,0.06909090909090909,0.12,0.07515151515151515,0.07878787878787878,0.07878787878787878
1-deoxygalactonojirimycin 3.0,1330.120245398773,1470.2662576687117,0.8309373814302373,39.51435813756027,0.5850594818662831,60.053682085750516,28.950317604447818,0.00010772041950905432,159.98544440237043,0.9111236673056475,0.12989973356324613,0.4295284494165764,0.06094430410200913,0.0966511344498406,0.3002766750872129,0.03431372549019599,0.06710932162181886,0.23084806928906604,0.02452544207867194,0.09385949162264538,0.2200156381571035,0.04043305665824611,0.09079754601226994,0.13374233128834356,0.1619631901840491,0.12392638036809817,0.06503067484662577,0.06625766871165645,0.10552147239263804,0.08220858895705521,0.08098159509202454,0.08957055214723926
2-hydroxyethyl-salicylate 0.01,1252.7847222222222,1394.398148148148,0.8445205496025537,38.377538721836245,0.5721017354567212,60.56627749423715,27.410788011312782,-0.10582127189225013,158.16280812812417,0.9072487520312438,0.08405462080678376,0.3063952432824984,0.03485384894698612,0.089642449179019,0.28079724945533696,0.02553785403050098,0.04922823164163691,0.1807859023238929,0.016318309731299892,0.07928536150671171,0.18872208605664476,0.0301731572258532,0.08564814814814815,0.15046296296296297,0.17592592592592593,0.1261574074074074,0.05439814814814815,0.061342592592592594,0.09375,0.08101851851851852,0.08217592592592593,0.08912037037037036
2-hydroxyethyl-salicylate 0.03,1284.891304347826,1432.2848970251716,0.8389835086939735,38.731631763614864,0.5680708310169928,60.56306030538899,27.97657191719685,-0.04703856823107126,159.85932270070643,0.9061044957382213,0.08873127824623547,0.3268968456947996,0.03541414277381421,0.09504401589280503,0.3032855476286631,0.027070713869071485,0.05212707561192417,0.19233521783999624,0.01696504688832051,0.08335287782913844,0.20281890788351958,0.03172589401893471,0.09954233409610984,0.13615560640732266,0.18192219679633867,0.13501144164759726,0.06750572082379863,0.07208237986270023,0.11327231121281464,0.07208237986270023,0.05835240274599542,0.06407322654462243
2-hydroxyethyl-salicylate 0.1,1391.6988984088127,1542.1970624235007,0.8347104693727415,40.411303178045564,0.5858040254151502,62.15042273409702,29.40379242707157,-0.01593241824560542,164.85429243420674,0.911431384604265,0.08875068232364444,0.3335001319989441,0.0361257109943119,0.09179761075532501,0.2999124007007948,0.025433796529627583,0.05260891527864634,0.1998332013343891,0.017087863297093605,0.08165830638587943,0.2051851585187321,0.0298089615283076,0.08812729498164015,0.11015911872705018,0.1762545899632803,0.13953488372093023,0.06731946144430845,0.07221542227662178,0.10159118727050184,0.0795593635250918,0.07466340269277846,0.09057527539779682
