condition,area,convex_area,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,mean_intensity_w2,max_intensity_w2,min_intensity_w2,mean_intensity_w3,max_intensity_w3,min_intensity_w3,mean_intensity_w4,max_intensity_w4,min_intensity_w4,mean_intensity_w5,max_intensity_w5,min_intensity_w5,1,2,3,4,5,6,7,8,9,10
1-deoxygalactonojirimycin 0.003,327.9357429718876,363.57458405048766,0.7948557944614584,19.79950481049311,0.6023529089254686,28.500418319075646,15.114663638352415,-0.01973868461359469,76.0414848901083,0.9065525147513234,0.11283543063000882,0.25834402033905823,0.04523162678726143,0.09696035735484394,0.22456352018719067,0.04032600992204138,0.08444886374469868,0.17283025660063306,0.03218504269177562,0.10609670546105203,0.1998205707986009,0.057320317685307445,0.08777969018932874,0.0717154331612163,0.06884681583476764,0.0840504876649455,0.07630522088353414,0.1069994262765347,0.127653471026965,0.12478485370051635,0.1589213998852553,0.09294320137693632
1-deoxygalactonojirimycin 0.01,302.34031117397456,334.45855728429984,0.7870544036732043,18.935225059091465,0.6100613336879382,26.97829568362938,14.53739472707032,0.009631744523252784,72.04106924695512,0.9082349459274721,0.12003385732768636,0.26926366586238387,0.048549241478769885,0.09610388972939776,0.2218997698089131,0.04101977424633252,0.09285533360388466,0.1855570346950669,0.03668913109798385,0.10836586405695885,0.20085281637407418,0.05987824832903494,0.08543140028288543,0.07072135785007072,0.06562942008486564,0.06958981612446959,0.08147100424328148,0.12616690240452616,0.12956152758132955,0.12277227722772277,0.157001414427157,0.09165487977369166
1-deoxygalactonojirimycin 0.03,351.21558270056124,391.40277319247275,0.7917233283818456,20.45478304750277,0.6033426055966731,29.425293088138265,15.663770361526128,-0.0026010059074604037,78.78473846123792,0.9045636014330022,0.11500124370004021,0.2794224457693277,0.04095054991293364,0.09466200554229082,0.22369221706510203,0.03749247470529994,0.08783103838115193,0.19002874177072668,0.029197819768382968,0.10575754535046042,0.20517125305057587,0.053036982373008794,0.08187520633872565,0.06932981181908221,0.06899966985803896,0.08055463849455266,0.07593265103994717,0.11323869263783427,0.13568834598877516,0.12281280950808848,0.15318586992406735,0.09838230439088808
1-deoxygalactonojirimycin 0.1,307.8996763754045,340.79405707561045,0.7897135542202972,19.180413789122376,0.6046714587792188,27.42225369406889,14.72271658440847,0.056355413241374996,73.2684206502721,0.9065374186794454,0.12434356332217301,0.28928750670612446,0.048226410305222796,0.1019544043437934,0.23437920034150703,0.04264172276736573,0.09366407550184534,0.19347703188365747,0.03521508632873586,0.1146294139482159,0.21313477435693248,0.06145117652827566,0.08120035304501325,0.07413945278022947,0.061488673139158574,0.07708149455722271,0.07296263606943218,0.10561929979405707,0.15357458075904679,0.12150632538982054,0.14916151809355693,0.10326566637246248
1-deoxygalactonojirimycin 0.3,322.54213727193746,357.2119895742832,0.7904358898495177,19.623597432173575,0.6034854022085122,28.055947806859354,15.053137048798993,-0.06041054170254717,75.06877319211003,0.9069200972515108,0.11442280200079745,0.26011254777033865,0.04594555459021176,0.09744567940283445,0.22804551881569243,0.04051379022503921,0.08735575528725395,0.17762928513426826,0.03330806403070957,0.10703578690545228,0.19982027563414556,0.05850752116659014,0.09498986388647553,0.06805676223573703,0.06805676223573703,0.07240081088908196,0.08195771792644077,0.11149724876918621,0.14016796988126268,0.12771503040834056,0.1500144801621778,0.08514335360556038
1-deoxygalactonojirimycin 1.0,337.68913857677904,374.1061173533084,0.7815175917762355,20.057838848577692,0.6103190702932539,28.37069851948836,15.553900018914442,0.09259149960091088,76.48357973271884,0.9080270859480828,0.11634757812458746,0.276422547795647,0.04295121294460385,0.09212320232523723,0.2140838045580278,0.03741156887224334,0.08915114899441909,0.18909420822011716,0.03108247044136011,0.10367812010268648,0.1956368877138865,0.05364464762184552,0.08645443196004994,0.066167290886392,0.05305867665418227,0.06460674157303371,0.06991260923845194,0.11392009987515606,0.15418227215980024,0.12671660424469414,0.166354556803995,0.0986267166042447
1-deoxygalactonojirimycin 10.0,312.7541993281075,346.0397536394177,0.7805723082089794,19.355762258407225,0.6117831408791847,27.16667518819706,15.067782570081082,-0.02306079534536523,73.24472567857134,0.9081143689442535,0.11857120504353612,0.2639774498825272,0.04731490020420292,0.09688445858502964,0.22187712711064211,0.04050430362514566,0.09098329125997594,0.1811334892299598,0.03474051994818097,0.10751066483215997,0.19814598291724217,0.05808027578332581,0.08062709966405375,0.0677491601343785,0.055991041433370664,0.05683090705487122,0.07866741321388578,0.11954087346024636,0.13465845464725643,0.1427771556550952,0.16629339305711086,0.09686450167973125
1-deoxygalactonojirimycin 3.0,309.90400936494,342.96078431372547,0.7849925222422186,19.170678530769358,0.6094633133823105,27.215464256837407,14.796548880232107,0.053559140956953646,72.9242869857833,0.9076824455089579,0.1208238243701192,0.2743979066604683,0.04718994416613591,0.09736762714070311,0.22557426248228263,0.04029162147738846,0.09297011069842105,0.18873051122702553,0.034625890157057866,0.10818069421725475,0.2023808294169286,0.05745608749792001,0.09072285630670178,0.06321334503950835,0.059116183786947614,0.06613988879133743,0.06935908691834942,0.11998829382499268,0.13432835820895522,0.13579163008486977,0.16476441322797775,0.09657594381035997
Aloxistatin 0.003,308.7324822695035,343.1472340425532,0.7862458322257279,19.15670847687941,0.6078804650309326,27.237339147098094,14.7979922109551,-0.02471005643146881,73.12356876472838,0.9066817408133999,0.1205871157306812,0.27355889306077025,0.047677930746767044,0.10090581675994131,0.23494034209428477,0.042293700458907284,0.09047017863634597,0.18343401474064805,0.03431817549714938,0.11101964588628917,0.20751550549297654,0.06012237519121152,0.08709219858156028,0.07148936170212766,0.05645390070921986,0.06553191489361702,0.0774468085106383,0.12907801418439716,0.14808510638297873,0.12851063829787235,0.1472340425531915,0.08907801418439716
Aloxistatin 0.01,310.2682926829268,342.2699747687132,0.781969709728086,19.282174684893427,0.611338272996022,27.12220068629458,14.982354973296621,0.07280186861915339,72.99793610403357,0.9093625591606109,0.11842967542275877,0.2613854120285617,0.0498507561140522,0.1019619780368738,0.23823776777321512,0.04263895073027824,0.08957321979728988,0.17703980386659912,0.036455086660400246,0.11086927535864209,0.20448198903895726,0.061486831906858976,0.08074011774600505,0.06588169329969162,0.0560695262125035,0.063919259882254,0.0832632464255677,0.12699747687132043,0.1438183347350715,0.1295206055508831,0.1583964115503224,0.09139332772638072
